code,height,bare_rock,algae_cover,sessile_invert_cover,epibiont,basibiont,count
Point Pinos 2-1-2,High,0.2,0.46666666664,0.33333333337,Balanus,California Mussel,6
Point Pinos 2-1-2,High,0.2,0.46666666664,0.33333333337,Crustose Coralline Algae,California Mussel,2
Point Pinos 2-1-2,High,0.2,0.46666666664,0.33333333337,Pink Volcano Barnacle,California Mussel,1
Point Pinos 2-1-2,High,0.2,0.46666666664,0.33333333337,Black Limpet,California Mussel,2
Point Pinos 2-1-3,High,0.125,0.5,0.375,Scouring Pad Algae,California Mussel,2
Point Pinos 2-1-3,High,0.125,0.5,0.375,Nori,California Mussel,1
Point Pinos 2-1-3,High,0.125,0.5,0.375,Balanus,California Mussel,3
Point Pinos 2-1-3,High,0.125,0.5,0.375,Digitalis,California Mussel,5
Point Pinos 2-1-3,High,0.125,0.5,0.375,File Limpet,California Mussel,1
Point Pinos 2-1-3,High,0.125,0.5,0.375,Black Limpet,California Mussel,1
Point Pinos 2-1-3,High,0.125,0.5,0.375,Scouring Pad Algae,Gooseneck Barnacle,1
Point Pinos 2-1-4,High,0,1,0,Scouring Pad Algae,California Mussel,1
Point Pinos 2-1-4,High,0,1,0,Mastocarpus,California Mussel,1
Point Pinos 2-1-4,High,0,1,0,Digitalis,California Mussel,1
Point Pinos 2-1-5,High,0.125,0.6875,0.1875,Digitalis,California Mussel,1
Point Pinos 2-1-5,High,0.125,0.6875,0.1875,Balanus,California Mussel,4
Point Pinos 2-1-5,High,0.125,0.6875,0.1875,Balanus,Pink Volcano Barnacle,2
Point Pinos 2-1-5,High,0.125,0.6875,0.1875,Crustose Coralline Algae,Pink Volcano Barnacle,1
Point Pinos 2-1-5,High,0.125,0.6875,0.1875,Tar Spot,Pink Volcano Barnacle,1
Point Pinos 2-1-6,High,0.25,0.25,0.5,Balanus,California Mussel,18
Point Pinos 2-1-7,High,0.2941176471,0.70588235292,0,NA,NA,0
Point Pinos 2-1-8,High,0.0625,0.9375,0,Crustose Coralline Algae,Pink Volcano Barnacle,1
Point Pinos 2-1-8,High,0.0625,0.9375,0,Crustose Coralline Algae,California Spiny Chiton,1
Point Pinos 2-1-8,High,0.0625,0.9375,0,Balanus,California Mussel,4
Point Pinos 2-1-9,High,0.1875,0.8125,0,Crustose Coralline Algae,Pink Volcano Barnacle,2
Point Pinos 2-1-10,High,0.1875,0.8125,0,Crustose Coralline Algae,California Spiny Chiton,1
Point Pinos 2-1-10,High,0.1875,0.8125,0,Crustose Coralline Algae,Pink Volcano Barnacle,2
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Digitalis,Balanus,3
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Pink Volcano Barnacle,Balanus,3
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Black Limpet,Balanus,1
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Nori,Balanus,3
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Balanus,Balanus,21
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Black Limpet,California Mussel,4
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Digitalis,California Mussel,1
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Crustose Coralline Algae,Gooseneck Barnacle,1
Point Pinos 2-2-1,Medium,0.25,0.1875,0.5625,Black Limpet,Gooseneck Barnacle,1
Point Pinos 2-2-2,Medium,0.625,0,0.375,Balanus,California Mussel,2
Point Pinos 2-2-2,Medium,0.625,0,0.375,Black Limpet,California Mussel,6
Point Pinos 2-2-2,Medium,0.625,0,0.375,Balanus,Balanus,2
Point Pinos 2-2-2,Medium,0.625,0,0.375,Balanus,Scabra,1
Point Pinos 2-2-3,Medium,0,0.0625,0.9375,Black Limpet,California Mussel,27
Point Pinos 2-2-3,Medium,0,0.0625,0.9375,Balanus,California Mussel,24
Point Pinos 2-2-3,Medium,0,0.0625,0.9375,Chthamalus,California Mussel,6
Point Pinos 2-2-3,Medium,0,0.0625,0.9375,Nori,California Mussel,1
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Balanus,California Mussel,10
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Chthamalus,California Mussel,3
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Black Limpet,California Mussel,20
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Digitalis,California Mussel,1
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Digitalis,Balanus,1
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Digitalis,Pink Volcano Barnacle,1
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Balanus,Pink Volcano Barnacle,1
Point Pinos 2-2-4,Medium,0.0625,0,0.9375,Scabra,Pink Volcano Barnacle,1
Point Pinos 2-2-5,Medium,0.3125,0,0.6875,Chthamalus,California Mussel,21
Point Pinos 2-2-5,Medium,0.3125,0,0.6875,Digitalis,California Mussel,2
Point Pinos 2-2-5,Medium,0.3125,0,0.6875,Black Limpet,California Mussel,34
Point Pinos 2-2-5,Medium,0.3125,0,0.6875,Nori,Balanus,1
Point Pinos 2-2-5,Medium,0.3125,0,0.6875,Green Algae,Scabra,1
Point Pinos 2-2-5,Medium,0.3125,0,0.6875,Balanus,California Mussel,7
Point Pinos 2-2-6,Medium,0.125,0.0625,0.8125,Black Limpet,California Mussel,17
Point Pinos 2-2-6,Medium,0.125,0.0625,0.8125,Digitalis,California Mussel,2
Point Pinos 2-2-6,Medium,0.125,0.0625,0.8125,Balanus,Balanus,1
Point Pinos 2-2-6,Medium,0.125,0.0625,0.8125,Balanus,Pink Volcano Barnacle,15
Point Pinos 2-2-6,Medium,0.125,0.0625,0.8125,Black Limpet,Pink Volcano Barnacle,5
Point Pinos 2-2-6,Medium,0.125,0.0625,0.8125,Pink Volcano Barnacle,Balanus,4
Point Pinos 2-2-7,Medium,0.4375,0.5,0.0625,Black Limpet,Black Tegula,1
Point Pinos 2-2-7,Medium,0.4375,0.5,0.0625,Black Limpet,California Mussel,7
Point Pinos 2-2-8,Medium,0.125,0.125,0.6875,Crustose Coralline Algae,California Mussel,4
Point Pinos 2-2-8,Medium,0.125,0.125,0.6875,Digitalis,California Mussel,1
Point Pinos 2-2-8,Medium,0.125,0.125,0.6875,Tar Spot,Brown Tegula,1
Point Pinos 2-2-8,Medium,0.125,0.125,0.6875,Crustose Coralline Algae,Digitalis,1
Point Pinos 2-2-8,Medium,0.125,0.125,0.6875,Crustose Coralline Algae,Pink Volcano Barnacle,1
Point Pinos 2-2-8,Medium,0.125,0.125,0.6875,Tar Spot,Pink Volcano Barnacle,1
Point Pinos 2-2-9,Medium,0,0.125,0.875,Digitalis,California Mussel,1
Point Pinos 2-2-9,Medium,0,0.125,0.875,Crustose Coralline Algae,Digitalis,1
Point Pinos 2-2-10,Medium,0.1875,0.8125,0,Black Limpet,California Mussel,3
Point Pinos 2-3-1,Low,0.0625,0.5,0.3125,Crustose Coralline Algae,California Mussel,7
Point Pinos 2-3-1,Low,0.0625,0.5,0.3125,Black Limpet,California Mussel,1
Point Pinos 2-3-2,Low,0.1875,0.625,0.1875,Digitalis,Balanus,2
Point Pinos 2-3-2,Low,0.1875,0.625,0.1875,Crustose Coralline Algae,Balanus,1
Point Pinos 2-3-2,Low,0.1875,0.625,0.1875,Black Limpet,California Mussel,3
Point Pinos 2-3-3,Low,0.1875,0.5,0.3125,Tar Spot,Brown Tegula,1
Point Pinos 2-3-3,Low,0.1875,0.5,0.3125,Crustose Coralline Algae,Brown Tegula,1
Point Pinos 2-3-3,Low,0.1875,0.5,0.3125,Hooked Slippersnail,Black Tegula,1
Point Pinos 2-3-4,Low,0.4166666667,0.1666666667,0.41666666672999997,Black Limpet,California Mussel,2
Point Pinos 2-3-5,Low,0,0.5,0.5,Digitalis,California Mussel,2
Point Pinos 2-3-6,Low,0.25,0.4375,0.3125,Digitalis,Balanus,3
Point Pinos 2-3-6,Low,0.25,0.4375,0.3125,Green Algae,Balanus,1
Point Pinos 2-3-6,Low,0.25,0.4375,0.3125,Crustose Coralline Algae,Balanus,1
Point Pinos 2-3-6,Low,0.25,0.4375,0.3125,Tar Spot,Digitalis,5
Point Pinos 2-3-6,Low,0.25,0.4375,0.3125,Tar Spot,Shield Limpet,1
Point Pinos 2-3-7,Low,0.0625,0.8125,0.0625,Tar Spot,Digitalis,1
Point Pinos 2-3-7,Low,0.0625,0.8125,0.0625,Crustose Coralline Algae,Digitalis,3
Point Pinos 2-3-7,Low,0.0625,0.8125,0.0625,Mastocarpus,Digitalis,1
Point Pinos 2-3-8,Low,0.1875,0.4375,0.25,Crustose Coralline Algae,California Mussel,3
Point Pinos 2-3-8,Low,0.1875,0.4375,0.25,Black Limpet,California Mussel,1
Point Pinos 2-3-8,Low,0.1875,0.4375,0.25,Tar Spot,California Mussel,1
Point Pinos 2-3-9,Low,0,0.875,0.125,Digitalis,Digitalis,1
Point Pinos 2-3-9,Low,0,0.875,0.125,Crustose Coralline Algae,Balanus,2
Point Pinos 2-3-10,Low,0,1,0,Crustose Coralline Algae,California Mussel,1
Asilomar 1-1-1,High,0.4375,0.5625,0,Digitalis,Black Tegula,1
Asilomar 1-1-2,High,0.5,0.4375,0.0625,Balanus,Black Tegula,1
Asilomar 1-1-2,High,0.5,0.4375,0.0625,Digitalis,Black Tegula,1
Asilomar 1-1-3,High,0,0.75,0.25,Balanus,Pink Volcano Barnacle,1
Asilomar 1-1-3,High,0,0.75,0.25,Black Limpet,Black Tegula,2
Asilomar 1-1-4,High,0.375,0.625,0,Black Limpet,Black Tegula,1
Asilomar 1-1-5,High,0.375,0.625,0,Black Limpet,Black Tegula,1
Asilomar 1-1-5,High,0.375,0.625,0,Digitalis,Black Tegula,1
Asilomar 1-1-5,High,0.375,0.625,0,Crustose Coralline Algae,California Mussel,1
Asilomar 1-1-6,High,0.375,0.5625,0.0625,Digitalis,Gooseneck Barnacle,3
Asilomar 1-1-6,High,0.375,0.5625,0.0625,Tar Spot,Gooseneck Barnacle,2
Asilomar 1-1-6,High,0.375,0.5625,0.0625,Cladophora,Gooseneck Barnacle,1
Asilomar 1-1-6,High,0.375,0.5625,0.0625,Mastocarpus,Gooseneck Barnacle,1
Asilomar 1-2-1,Medium,0.25,0.6875,0.0625,Black Limpet,Black Tegula,1
Asilomar 1-2-1,Medium,0.25,0.6875,0.0625,Digitalis,Shield Limpet,1
Asilomar 1-2-1,Medium,0.25,0.6875,0.0625,Mastocarpus,Shield Limpet,1
Asilomar 1-2-2,Medium,0.1875,0.75,0.0625,Black Limpet,California Mussel,1
Asilomar 1-2-2,Medium,0.1875,0.75,0.0625,Digitalis,California Mussel,1
Asilomar 1-2-2,Medium,0.1875,0.75,0.0625,Black Limpet,Black Tegula,1
Asilomar 1-2-3,Medium,0.1875,0.8125,0,Digitalis,Pink Volcano Barnacle,1
Asilomar 1-2-3,Medium,0.1875,0.8125,0,Green Algae,Scabra,8
Asilomar 1-2-3,Medium,0.1875,0.8125,0,Crustose Coralline Algae,Pink Volcano Barnacle,1
Asilomar 1-2-4,Medium,0.0625,0.8125,0.125,Green Algae,Scabra,8
Asilomar 1-2-4,Medium,0.0625,0.8125,0.125,Digitalis,Shield Limpet,2
Asilomar 1-2-5,Medium,0.625,0.3125,0.0625,Green Algae,Scabra,10
Asilomar 1-2-5,Medium,0.625,0.3125,0.0625,Green Algae,Shield Limpet,1
Asilomar 1-2-6,Medium,0.375,0.5625,0.0625,Digitalis,California Mussel,1
Asilomar 1-2-6,Medium,0.375,0.5625,0.0625,Digitalis,Black Tegula,2
Asilomar 1-2-6,Medium,0.375,0.5625,0.0625,Black Limpet,California Mussel,1
Asilomar 1-2-6,Medium,0.375,0.5625,0.0625,Balanus,California Spiny Chiton,2
Asilomar 1-2-6,Medium,0.375,0.5625,0.0625,Crustose Coralline Algae,California Spiny Chiton,1
Asilomar 1-2-6,Medium,0.375,0.5625,0.0625,Digitalis,California Spiny Chiton,1
Asilomar 1-2-6,Medium,0.375,0.5625,0.0625,Tar Spot,California Spiny Chiton,1
Asilomar 1-3-1,Low,0.375,0.5,0.125,Green Algae,Shield Limpet,2
Asilomar 1-3-1,Low,0.375,0.5,0.125,Scouring Pad Algae,Pink Volcano Barnacle,2
Asilomar 1-3-1,Low,0.375,0.5,0.125,Tar Spot,Pink Volcano Barnacle,11
Asilomar 1-3-1,Low,0.375,0.5,0.125,Balanus,Pink Volcano Barnacle,3
Asilomar 1-3-2,Low,0.375,0.4375,0.1875,Green Algae,Shield Limpet,1
Asilomar 1-3-2,Low,0.375,0.4375,0.1875,Digitalis,Black Tegula,1
Asilomar 1-3-2,Low,0.375,0.4375,0.1875,Hooked Slippersnail,Black Tegula,1
Asilomar 1-3-3,Low,0.3125,0.625,0.0625,Scabra,Shield Limpet,1
Asilomar 1-3-3,Low,0.3125,0.625,0.0625,Black Limpet,Black Tegula,1
Asilomar 1-3-4,Low,0.1875,0.8125,0,Green Algae,Shield Limpet,7
Asilomar 1-3-4,Low,0.1875,0.8125,0,Digitalis,Black Tegula,1
Asilomar 1-3-4,Low,0.1875,0.8125,0,Mastocarpus,Black Tegula,1
Asilomar 1-3-5,Low,0.0625,0.875,0.0625,Crustose Coralline Algae,Black Tegula,1
Asilomar 1-3-5,Low,0.0625,0.875,0.0625,Digitalis,Black Tegula,1
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Green Algae,Shield Limpet,5
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Digitalis,Black Tegula,1
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Digitalis,Shield Limpet,3
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Digitalis,Volcano Keyhole Limpet,3
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Balanus,Black Tegula,1
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Tar Spot,Black Tegula,1
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Red Algae,Black Tegula,1
Asilomar 1-3-6,Low,0.25,0.5625,0.1875,Green Algae,Digitalis,4
Asilomar 2-1-1,High,0.5625,0.4375,0,Green Algae,Scabra,13
Asilomar 2-1-1,High,0.5625,0.4375,0,Green Algae,Balanus,1
Asilomar 2-1-2,High,0.3125,0.6875,0,Digitalis,Littorina,1
Asilomar 2-1-2,High,0.3125,0.6875,0,Green Algae,Shield Limpet,1
Asilomar 2-1-3,High,0.5,0.4375,0.0625,Tar Spot,Black Tegula,1
Asilomar 2-1-3,High,0.5,0.4375,0.0625,Crustose Coralline Algae,California Spiny Chiton,1
Asilomar 2-1-4,High,0.6875,0.25,0.0625,Green Algae,Scabra,8
Asilomar 2-1-4,High,0.6875,0.25,0.0625,Nori,Scabra,1
Asilomar 2-1-5,High,0.6875,0.1875,0.125,Green Algae,Scabra,9
Asilomar 2-1-6,High,0.75,0.25,0,Green Algae,Scabra,2
Asilomar 2-1-7,High,0.8125,0.1875,0,Green Algae,Scabra,1
Asilomar 2-2-1,Medium,0.0625,0.9375,0,Digitalis,Black Tegula,1
