Site,Transect,Quad,Height,Epibiont,Basibiont,Count,Notes
Point Pinos 1,2,1,Medium,Digitalis,Black Tegula,1,
Point Pinos 1,2,1,Medium,Plate Limpet,Black Limpet,1,
Point Pinos 1,2,2,Medium,Hooked Slippersnail,Black Tegula,1,
Point Pinos 1,2,2,Medium,Hooked Slippersnail,Hooked Slippersnail,1,
Point Pinos 1,2,5,Medium,Hooked Slippersnail,Black Tegula,1,
Point Pinos 1,2,5,Medium,Serpulidae,Black Tegula,7,
Point Pinos 1,2,5,Medium,Translucent Slipper Snail,Black Tegula,1,
Point Pinos 1,2,5,Medium,Serpulidae,Tegula sp.,1,Unsure on basibiont ID
Point Pinos 1,2,6,Medium,Hooked Slippersnail,Black Tegula,1,
Point Pinos 1,2,8,Medium,Black Limpet,Black Tegula,2,
Point Pinos 1,2,8,Medium,Digitalis,Black Tegula,1,
Point Pinos 1,3,1,Low,Hooked Slippersnail,Black Tegula,2,
Point Pinos 1,3,1,Low,Balanus,Black Tegula,1,
Point Pinos 1,3,1,Low,Digitalis,Black Tegula,1,
Point Pinos 1,3,2,Low,Hooked Slippersnail,Black Tegula,3,
Point Pinos 1,3,2,Low,Pink Volcano Barnacle,Black Tegula,1,
Point Pinos 1,3,2,Low,Balanus,Black Tegula,10,
Point Pinos 1,3,2,Low,Scouring Pad Algae,Black Tegula,2,
Point Pinos 1,3,2,Low,Digitalis,Black Tegula,2,
Point Pinos 1,3,3,Low,File Limpet,Black Tegula,1,
Point Pinos 1,3,3,Low,Digitalis,Black Tegula,2,
Point Pinos 1,3,3,Low,Scouring Pad Algae,Black Tegula,4,
Point Pinos 1,3,3,Low,Crustose Coralline Algae,Black Tegula,1,
Point Pinos 1,3,3,Low,Hooked Slippersnail,Littorina,1,
Point Pinos 1,3,4,Low,Serpulidae,Black Tegula,1,
Point Pinos 1,3,4,Low,File Limpet,Black Tegula,1,
Point Pinos 1,3,4,Low,Black Limpet,Black Tegula,1,
Point Pinos 1,3,4,Low,Balanus,Black Tegula,1,
Point Pinos 1,3,5,Low,Hooked Slippersnail,Black Tegula,1,
Point Pinos 1,3,5,Low,Digitalis,Black Tegula,2,
Point Pinos 1,3,6,Low,Hooked Slippersnail,Black Tegula,1,
Point Pinos 1,3,7,Low,Black Limpet,Black Tegula,1,
Point Pinos 1,3,7,Low,Digitalis,Black Tegula,1,
Point Pinos 1,3,8,Low,File Limpet,Black Tegula,1,
Point Pinos 1,3,8,Low,Black Limpet,Black Tegula,1,
Point Pinos 1,3,9,Low,Digitalis,Black Tegula,1,
Point Pinos 1,3,9,Low,Discurria,Black Tegula,1,
Point Pinos 1,3,10,Low,Digitalis,Black Tegula,1,
Great Tidepool 1,1,1,High,Green Algae,Shield Limpet,1,Species of algae not marked
Great Tidepool 1,1,1,High,Green Algae,Gooseneck Barnacle,2,Species of algae not marked
Great Tidepool 1,1,2,High,Digitalis,Black Tegula,2,
Great Tidepool 1,1,2,High,Balanus,Black Tegula,2,
Great Tidepool 1,1,3,High,Balanus,Pink Volcano Barnacle,5,
Great Tidepool 1,1,3,High,Digitalis,Pink Volcano Barnacle,2,
Great Tidepool 1,1,3,High,Balanus,Gooseneck Barnacle,1,
Great Tidepool 1,1,3,High,Digitalis,Gooseneck Barnacle,1,
Great Tidepool 1,1,3,High,File Limpet,Gooseneck Barnacle,1,
Great Tidepool 1,1,4,High,Crustose Coralline Algae,Pink Volcano Barnacle,3,
Great Tidepool 1,1,4,High,Digitalis,Pink Volcano Barnacle,1,
Great Tidepool 1,1,4,High,Balanus,Pink Volcano Barnacle,3,
Great Tidepool 1,1,5,High,Digitalis,Pink Volcano Barnacle,1,
Great Tidepool 1,1,5,High,Crustose Coralline Algae,Pink Volcano Barnacle,3,
Great Tidepool 1,1,5,High,Balanus,Black Tegula,1,
Great Tidepool 1,1,6,High,Green Algae,Scabra,1,Species of algae not marked
Great Tidepool 1,1,6,High,Filamentous Coralline Algae,Digitalis,1,
Great Tidepool 1,1,7,High,Balanus,Black Tegula,10,
Great Tidepool 1,1,7,High,Balanus,Nucella,4,
Great Tidepool 1,1,8,High,Balanus,Balanus,1,
Great Tidepool 1,1,9,High,Mastocarpus,Gooseneck Barnacle,1,
Great Tidepool 1,1,9,High,Translucent Slipper Snail,Digitalis,2,Unsure on epibiont ID
Great Tidepool 1,1,10,High,Balanus,California Mussel,3,
Great Tidepool 1,2,1,Medium,Digitalis,Shield Limpet,3,
Great Tidepool 1,2,2,Medium,Digitalis,Shield Limpet,1,
Great Tidepool 1,2,2,Medium,Black Limpet,Shield Limpet,1,
Great Tidepool 1,2,2,Medium,Crustose Coralline Algae,Shield Limpet,2,
Great Tidepool 1,2,3,Medium,Tar Spot,Pink Volcano Barnacle,4,
Great Tidepool 1,2,3,Medium,Mastocarpus,Pink Volcano Barnacle,1,
Great Tidepool 1,2,3,Medium,Tar Spot,Black Tegula,1,
Great Tidepool 1,2,3,Medium,Serpulidae,Black Tegula,1,
Great Tidepool 1,2,3,Medium,Black Limpet,Black Tegula,1,
Great Tidepool 1,2,4,Medium,Balanus,Black Tegula,3,
Great Tidepool 1,2,4,Medium,Mastocarpus,Black Tegula,1,
Great Tidepool 1,2,4,Medium,Black Limpet,Black Tegula,1,
Great Tidepool 1,2,4,Medium,Serpulidae,Black Tegula,1,
Great Tidepool 1,2,4,Medium,Digitalis,Black Tegula,2,
Great Tidepool 1,2,4,Medium,Hooked Slippersnail,Black Tegula,1,
Great Tidepool 1,2,5,Medium,Balanus,Black Tegula,6,
Great Tidepool 1,2,5,Medium,Digitalis,Black Tegula,2,
Great Tidepool 1,2,6,Medium,Balanus,Black Tegula,2,
Great Tidepool 1,2,6,Medium,Mastocarpus,Black Tegula,1,
Great Tidepool 1,2,7,Medium,Balanus,Black Tegula,7,
Great Tidepool 1,2,7,Medium,Discurria,Black Tegula,1,
Great Tidepool 1,2,8,Medium,Tar Spot,Pink Volcano Barnacle,1,
Great Tidepool 1,2,8,Medium,Balanus,Black Tegula,1,
Great Tidepool 1,2,8,Medium,Digitalis,Black Tegula,2,
Great Tidepool 1,2,8,Medium,Black Limpet,Black Tegula,1,
Great Tidepool 1,2,9,Medium,Balanus,Pink Volcano Barnacle,14,
Great Tidepool 1,2,9,Medium,Digitalis,Pink Volcano Barnacle,3,
Great Tidepool 1,2,9,Medium,Balanus,California Mussel,58,
Great Tidepool 1,2,9,Medium,Chthamalus,California Mussel,7,
Great Tidepool 1,2,9,Medium,Black Limpet,California Mussel,10,
Great Tidepool 1,2,9,Medium,Digitalis,California Mussel,6,
Great Tidepool 1,2,9,Medium,Scabra,California Mussel,3,
Great Tidepool 1,2,10,Medium,Digitalis,Black Tegula,1,
Great Tidepool 1,3,1,Low,Filamentous Coralline Algae,Scaled Wormsnail,1,
Great Tidepool 1,3,1,Low,Crustose Coralline Algae,Scaled Wormsnail,1,
Great Tidepool 1,3,1,Low,Tar Spot,Scaled Wormsnail,1,
Great Tidepool 1,3,1,Low,Scabra,Volcano Keyhole Limpet,1,
Great Tidepool 1,3,1,Low,Tar Spot,Pink Volcano Barnacle,1,
Great Tidepool 1,3,2,Low,Mastocarpus,Plate Limpet,2,
Great Tidepool 1,3,2,Low,Mastocarpus,Pink Volcano Barnacle,2,
Great Tidepool 1,3,2,Low,Crustose Coralline Algae,Pink Volcano Barnacle,2,
Great Tidepool 1,3,2,Low,Filamentous Coralline Algae,Pink Volcano Barnacle,1,
Great Tidepool 1,3,3,Low,Tar Spot,Pink Volcano Barnacle,2,
Great Tidepool 1,3,3,Low,Pink Volcano Barnacle,Pink Volcano Barnacle,1,
Great Tidepool 1,3,4,Low,Hooked Slippersnail,Black Tegula,1,
Great Tidepool 1,3,4,Low,Balanus,Black Tegula,4,
Great Tidepool 1,3,4,Low,Crustose Coralline Algae,Hooked Slippersnail,1,
Great Tidepool 1,3,4,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Great Tidepool 1,3,5,Low,Bryozoa,Balanus,7,Unsure on epibiont ID
Great Tidepool 1,3,5,Low,Tar Spot,Black Tegula,1,
Great Tidepool 1,3,5,Low,Crustose Coralline Algae,Plate Limpet,1,
Great Tidepool 1,3,6,Low,Hooked Slippersnail,Black Tegula,2,
Great Tidepool 1,3,6,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Great Tidepool 1,3,6,Low,Crustose Coralline Algae,Hooked Slippersnail,1,
Great Tidepool 1,3,7,Low,Scouring Pad Algae,Volcano Keyhole Limpet,2,
Great Tidepool 1,3,8,Low,Crustose Coralline Algae,Volcano Keyhole Limpet,1,
Great Tidepool 1,3,8,Low,Red Algae,Shield Limpet,1,Species of algae not marked
Great Tidepool 1,3,9,Low,Crustose Coralline Algae,Black Tegula,2,
Great Tidepool 1,3,9,Low,Balanus,Black Tegula,6,
Great Tidepool 1,3,9,Low,Digitalis,Black Tegula,3,
Great Tidepool 1,3,10,Low,Crustose Coralline Algae,Balanus,1,
Great Tidepool 1,3,10,Low,Mastocarpus,Black Tegula,1,
Great Tidepool 1,3,10,Low,Balanus,Black Tegula,4,
Great Tidepool 1,3,10,Low,Digitalis,Black Tegula,1,
Point Pinos 2,1,1,High,Balanus,California Mussel,2,
Point Pinos 2,1,2,High,Digitalis,California Mussel,4,
Point Pinos 2,1,2,High,Balanus,California Mussel,6,
Point Pinos 2,1,2,High,Crustose Coralline Algae,California Mussel,2,
Point Pinos 2,1,2,High,Pink Volcano Barnacle,California Mussel,1,
Point Pinos 2,1,2,High,Black Limpet,California Mussel,2,
Point Pinos 2,1,3,High,Scouring Pad Algae,California Mussel,2,
Point Pinos 2,1,3,High,Nori,California Mussel,1,
Point Pinos 2,1,3,High,Balanus,California Mussel,3,
Point Pinos 2,1,3,High,Digitalis,California Mussel,5,
Point Pinos 2,1,3,High,File Limpet,California Mussel,1,
Point Pinos 2,1,3,High,Black Limpet,California Mussel,1,
Point Pinos 2,1,3,High,Scouring Pad Algae,Gooseneck Barnacle,1,
Point Pinos 2,1,4,High,Scouring Pad Algae,California Mussel,1,
Point Pinos 2,1,4,High,Mastocarpus,California Mussel,1,
Point Pinos 2,1,4,High,Digitalis,California Mussel,1,
Point Pinos 2,1,5,High,Digitalis,California Mussel,1,
Point Pinos 2,1,5,High,Balanus,California Mussel,4,
Point Pinos 2,1,5,High,Balanus,Pink Volcano Barnacle,2,
Point Pinos 2,1,5,High,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Point Pinos 2,1,5,High,Tar Spot,Pink Volcano Barnacle,1,
Point Pinos 2,1,6,High,Balanus,California Mussel,18,
Point Pinos 2,1,8,High,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Point Pinos 2,1,8,High,Crustose Coralline Algae,California Spiny Chiton,1,
Point Pinos 2,1,8,High,Balanus,California Mussel,4,
Point Pinos 2,1,9,High,Crustose Coralline Algae,Pink Volcano Barnacle,2,
Point Pinos 2,1,10,High,Crustose Coralline Algae,California Spiny Chiton,1,
Point Pinos 2,1,10,High,Crustose Coralline Algae,Pink Volcano Barnacle,2,
Point Pinos 2,2,1,Medium,Digitalis,Balanus,3,
Point Pinos 2,2,1,Medium,Pink Volcano Barnacle,Balanus,3,
Point Pinos 2,2,1,Medium,Black Limpet,Balanus,1,
Point Pinos 2,2,1,Medium,Nori,Balanus,3,
Point Pinos 2,2,1,Medium,Balanus,Balanus,21,
Point Pinos 2,2,1,Medium,Black Limpet,California Mussel,4,
Point Pinos 2,2,1,Medium,Digitalis,California Mussel,1,
Point Pinos 2,2,1,Medium,Crustose Coralline Algae,Gooseneck Barnacle,1,
Point Pinos 2,2,1,Medium,Black Limpet,Gooseneck Barnacle,1,
Point Pinos 2,2,2,Medium,Balanus,California Mussel,2,
Point Pinos 2,2,2,Medium,Black Limpet,California Mussel,6,
Point Pinos 2,2,2,Medium,Balanus,Balanus,2,
Point Pinos 2,2,2,Medium,Balanus,Scabra,1,
Point Pinos 2,2,3,Medium,Black Limpet,California Mussel,27,
Point Pinos 2,2,3,Medium,Balanus,California Mussel,24,
Point Pinos 2,2,3,Medium,Chthamalus,California Mussel,6,
Point Pinos 2,2,3,Medium,Nori,California Mussel,1,
Point Pinos 2,2,4,Medium,Balanus,California Mussel,10,
Point Pinos 2,2,4,Medium,Chthamalus,California Mussel,3,
Point Pinos 2,2,4,Medium,Black Limpet,California Mussel,20,
Point Pinos 2,2,4,Medium,Digitalis,California Mussel,1,
Point Pinos 2,2,4,Medium,Digitalis,Balanus,1,
Point Pinos 2,2,4,Medium,Digitalis,Pink Volcano Barnacle,1,
Point Pinos 2,2,4,Medium,Balanus,Pink Volcano Barnacle,1,
Point Pinos 2,2,4,Medium,Scabra,Pink Volcano Barnacle,1,
Point Pinos 2,2,5,Medium,Chthamalus,California Mussel,21,
Point Pinos 2,2,5,Medium,Digitalis,California Mussel,2,
Point Pinos 2,2,5,Medium,Black Limpet,California Mussel,34,
Point Pinos 2,2,5,Medium,Nori,Balanus,1,
Point Pinos 2,2,5,Medium,Green Algae,Scabra,1,Species of algae not marked
Point Pinos 2,2,5,Medium,Balanus,California Mussel,7,
Point Pinos 2,2,6,Medium,Black Limpet,California Mussel,17,
Point Pinos 2,2,6,Medium,Digitalis,California Mussel,2,
Point Pinos 2,2,6,Medium,Balanus,Balanus,1,
Point Pinos 2,2,6,Medium,Balanus,Pink Volcano Barnacle,15,
Point Pinos 2,2,6,Medium,Black Limpet,Pink Volcano Barnacle,5,
Point Pinos 2,2,6,Medium,Pink Volcano Barnacle,Balanus,4,
Point Pinos 2,2,7,Medium,Black Limpet,Black Tegula,1,
Point Pinos 2,2,7,Medium,Black Limpet,California Mussel,7,
Point Pinos 2,2,8,Medium,Crustose Coralline Algae,California Mussel,4,
Point Pinos 2,2,8,Medium,Digitalis,California Mussel,1,
Point Pinos 2,2,8,Medium,Tar Spot,Brown Tegula,1,
Point Pinos 2,2,8,Medium,Crustose Coralline Algae,Digitalis,1,
Point Pinos 2,2,8,Medium,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Point Pinos 2,2,8,Medium,Tar Spot,Pink Volcano Barnacle,1,
Point Pinos 2,2,9,Medium,Digitalis,California Mussel,1,
Point Pinos 2,2,9,Medium,Crustose Coralline Algae,Digitalis,1,
Point Pinos 2,2,10,Medium,Black Limpet,California Mussel,3,
Point Pinos 2,3,1,Low,Crustose Coralline Algae,California Mussel,7,
Point Pinos 2,3,1,Low,Black Limpet,California Mussel,1,
Point Pinos 2,3,2,Low,Digitalis,Balanus,2,
Point Pinos 2,3,2,Low,Crustose Coralline Algae,Balanus,1,
Point Pinos 2,3,2,Low,Black Limpet,California Mussel,3,
Point Pinos 2,3,3,Low,Tar Spot,Brown Tegula,1,
Point Pinos 2,3,3,Low,Crustose Coralline Algae,Brown Tegula,1,
Point Pinos 2,3,3,Low,Hooked Slippersnail,Black Tegula,1,
Point Pinos 2,3,4,Low,Black Limpet,California Mussel,2,
Point Pinos 2,3,5,Low,Digitalis,California Mussel,2,
Point Pinos 2,3,6,Low,Digitalis,Balanus,3,
Point Pinos 2,3,6,Low,Green Algae,Balanus,1,Species of algae not marked
Point Pinos 2,3,6,Low,Crustose Coralline Algae,Balanus,1,
Point Pinos 2,3,6,Low,Tar Spot,Digitalis,5,
Point Pinos 2,3,6,Low,Tar Spot,Shield Limpet,1,
Point Pinos 2,3,7,Low,Tar Spot,Digitalis,1,
Point Pinos 2,3,7,Low,Crustose Coralline Algae,Digitalis,3,
Point Pinos 2,3,7,Low,Mastocarpus,Digitalis,1,
Point Pinos 2,3,8,Low,Crustose Coralline Algae,California Mussel,3,
Point Pinos 2,3,8,Low,Black Limpet,California Mussel,1,
Point Pinos 2,3,8,Low,Tar Spot,California Mussel,1,
Point Pinos 2,3,9,Low,Digitalis,Digitalis,1,
Point Pinos 2,3,9,Low,Crustose Coralline Algae,Balanus,2,
Point Pinos 2,3,10,Low,Crustose Coralline Algae,California Mussel,1,
Asilomar 1,1,1,High,Digitalis,Black Tegula,1,
Asilomar 1,1,2,High,Balanus,Black Tegula,1,
Asilomar 1,1,2,High,Digitalis,Black Tegula,1,
Asilomar 1,1,3,High,Balanus,Pink Volcano Barnacle,1,
Asilomar 1,1,3,High,Black Limpet,Black Tegula,2,
Asilomar 1,1,4,High,Black Limpet,Black Tegula,1,
Asilomar 1,1,5,High,Black Limpet,Black Tegula,1,
Asilomar 1,1,5,High,Digitalis,Black Tegula,1,
Asilomar 1,1,5,High,Crustose Coralline Algae,California Mussel,1,
Asilomar 1,1,6,High,Digitalis,Gooseneck Barnacle,3,
Asilomar 1,1,6,High,Tar Spot,Gooseneck Barnacle,2,
Asilomar 1,1,6,High,Cladophora,Gooseneck Barnacle,1,
Asilomar 1,1,6,High,Mastocarpus,Gooseneck Barnacle,1,
Asilomar 1,2,1,Medium,Black Limpet,Black Tegula,1,
Asilomar 1,2,1,Medium,Digitalis,Shield Limpet,1,
Asilomar 1,2,1,Medium,Mastocarpus,Shield Limpet,1,
Asilomar 1,2,2,Medium,Black Limpet,California Mussel,1,
Asilomar 1,2,2,Medium,Digitalis,California Mussel,1,
Asilomar 1,2,2,Medium,Black Limpet,Black Tegula,1,
Asilomar 1,2,3,Medium,Digitalis,Pink Volcano Barnacle,1,
Asilomar 1,2,3,Medium,Green Algae,Scabra,8,Species of algae not marked
Asilomar 1,2,3,Medium,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Asilomar 1,2,4,Medium,Green Algae,Scabra,8,Species of algae not marked
Asilomar 1,2,4,Medium,Digitalis,Shield Limpet,2,
Asilomar 1,2,5,Medium,Green Algae,Scabra,10,Species of algae not marked
Asilomar 1,2,5,Medium,Green Algae,Shield Limpet,1,Species of algae not marked
Asilomar 1,2,6,Medium,Digitalis,California Mussel,1,
Asilomar 1,2,6,Medium,Digitalis,Black Tegula,2,
Asilomar 1,2,6,Medium,Black Limpet,California Mussel,1,
Asilomar 1,2,6,Medium,Balanus,California Spiny Chiton,2,
Asilomar 1,2,6,Medium,Crustose Coralline Algae,California Spiny Chiton,1,
Asilomar 1,2,6,Medium,Digitalis,California Spiny Chiton,1,
Asilomar 1,2,6,Medium,Tar Spot,California Spiny Chiton,1,
Asilomar 1,3,1,Low,Green Algae,Shield Limpet,2,Species of algae not marked
Asilomar 1,3,1,Low,Scouring Pad Algae,Pink Volcano Barnacle,2,
Asilomar 1,3,1,Low,Tar Spot,Pink Volcano Barnacle,11,
Asilomar 1,3,1,Low,Balanus,Pink Volcano Barnacle,3,
Asilomar 1,3,2,Low,Green Algae,Shield Limpet,1,Species of algae not marked
Asilomar 1,3,2,Low,Digitalis,Black Tegula,1,
Asilomar 1,3,2,Low,Hooked Slippersnail,Black Tegula,1,
Asilomar 1,3,3,Low,Scabra,Shield Limpet,1,
Asilomar 1,3,3,Low,Black Limpet,Black Tegula,1,
Asilomar 1,3,4,Low,Green Algae,Shield Limpet,7,Species of algae not marked
Asilomar 1,3,4,Low,Digitalis,Black Tegula,1,
Asilomar 1,3,4,Low,Mastocarpus,Black Tegula,1,
Asilomar 1,3,5,Low,Crustose Coralline Algae,Black Tegula,1,
Asilomar 1,3,5,Low,Digitalis,Black Tegula,1,
Asilomar 1,3,6,Low,Green Algae,Shield Limpet,5,Species of algae not marked
Asilomar 1,3,6,Low,Digitalis,Black Tegula,1,
Asilomar 1,3,6,Low,Digitalis,Shield Limpet,3,
Asilomar 1,3,6,Low,Digitalis,Volcano Keyhole Limpet,3,
Asilomar 1,3,6,Low,Balanus,Black Tegula,1,
Asilomar 1,3,6,Low,Tar Spot,Black Tegula,1,
Asilomar 1,3,6,Low,Red Algae,Black Tegula,1,Species of algae not marked
Asilomar 1,3,6,Low,Green Algae,Digitalis,4,Species of algae not marked
Asilomar 2,1,1,High,Green Algae,Scabra,13,Species of algae not marked
Asilomar 2,1,1,High,Green Algae,Balanus,1,Species of algae not marked
Asilomar 2,1,2,High,Digitalis,Littorina,1,
Asilomar 2,1,2,High,Green Algae,Shield Limpet,1,Species of algae not marked
Asilomar 2,1,3,High,Tar Spot,Black Tegula,1,
Asilomar 2,1,3,High,Crustose Coralline Algae,California Spiny Chiton,1,
Asilomar 2,1,4,High,Green Algae,Scabra,8,Species of algae not marked
Asilomar 2,1,4,High,Nori,Scabra,1,
Asilomar 2,1,5,High,Green Algae,Scabra,9,Species of algae not marked
Asilomar 2,1,6,High,Green Algae,Scabra,2,Species of algae not marked
Asilomar 2,1,7,High,Green Algae,Scabra,1,Species of algae not marked
Asilomar 2,2,1,Medium,Digitalis,Black Tegula,1,
Asilomar 2,2,2,Medium,Balanus,Black Tegula,3,
Asilomar 2,2,2,Medium,Digitalis,Black Tegula,1,
Asilomar 2,2,2,Medium,Tar Spot,Black Tegula,1,
Asilomar 2,2,3,Medium,Scouring Pad Algae,Black Tegula,1,
Asilomar 2,2,4,Medium,Digitalis,Black Tegula,2,
Asilomar 2,2,5,Medium,Black Limpet,Black Tegula,1,
Asilomar 2,2,6,Medium,Crustose Coralline Algae,California Spiny Chiton,1,
Asilomar 2,2,6,Medium,Red Algae,California Spiny Chiton,1,Species of algae not marked
Asilomar 2,2,7,Medium,Green Algae,Scabra,2,Species of algae not marked
Asilomar 2,2,7,Medium,Green Algae,California Spiny Chiton,1,Species of algae not marked
Asilomar 2,2,7,Medium,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Asilomar 2,3,1,Low,Hooked Slippersnail,Black Tegula,2,
Asilomar 2,3,2,Low,Hooked Slippersnail,Black Tegula,1,
Asilomar 2,3,2,Low,Black Limpet,Black Tegula,1,
Asilomar 2,3,2,Low,Balanus,Black Tegula,1,
Asilomar 2,3,2,Low,Serpulidae,Black Tegula,1,
Asilomar 2,3,2,Low,Black Limpet,Black Tegula,1,
Asilomar 2,3,2,Low,Tar Spot,Black Tegula,1,
Asilomar 2,3,2,Low,Digitalis,Black Tegula,1,
Asilomar 2,3,3,Low,Digitalis,Black Tegula,2,
Asilomar 2,3,3,Low,Black Limpet,Black Tegula,1,
Asilomar 2,3,3,Low,Hooked Slippersnail,Black Tegula,4,
Asilomar 2,3,4,Low,Digitalis,Black Tegula,1,
Asilomar 2,3,4,Low,Scouring Pad Algae,Black Tegula,1,
Asilomar 2,3,5,Low,Tar Spot,Black Tegula,1,
Asilomar 2,3,5,Low,Black Limpet,Black Tegula,1,
Asilomar 2,3,5,Low,Digitalis,Black Tegula,1,
Asilomar 2,3,5,Low,Balanus,Black Tegula,2,
Asilomar 2,3,6,Low,Scouring Pad Algae,Black Tegula,1,
Asilomar 2,3,6,Low,Balanus,Black Tegula,1,
Asilomar 2,3,6,Low,Digitalis,Black Tegula,2,
Asilomar 2,3,6,Low,Tar Spot,Black Tegula,1,
Asilomar 2,3,7,Low,Balanus,Black Tegula,6,
Asilomar 2,3,7,Low,Black Limpet,Black Tegula,1,
Asilomar 2,3,7,Low,Hooked Slippersnail,Black Tegula,2,
Otter Cove 1,1,4,High,Hooked Slippersnail,Black Tegula,1,
Otter Cove 1,1,5,High,Hooked Slippersnail,Black Tegula,3,
Otter Cove 1,1,6,High,Hooked Slippersnail,Black Tegula,1,
Otter Cove 1,1,7,High,[UNK] Several Epibionts,[UNK] Several Basi,15,COUNTS UNSURE
Otter Cove 1,1,8,High,Balanus,Black Tegula,1,
Otter Cove 1,2,1,Medium,Crustose Coralline Algae,California Spiny Chiton,3,
Otter Cove 1,2,1,Medium,Filamentous Coralline Algae,California Mussel,1,
Otter Cove 1,2,1,Medium,Scouring Pad Algae,California Mussel,3,
Otter Cove 1,2,2,Medium,Mastocarpus,Black Tegula,1,
Otter Cove 1,2,3,Medium,Scouring Pad Algae,File Limpet,1,
Otter Cove 1,2,3,Medium,Crustose Coralline Algae,File Limpet,1,
Otter Cove 1,2,3,Medium,Digitalis,File Limpet,1,
Otter Cove 1,2,4,Medium,Hooked Slippersnail,Black Tegula,1,
Otter Cove 1,2,4,Medium,Digitalis,Black Tegula,1,
Otter Cove 1,2,5,Medium,Digitalis,Shield Limpet,1,
